2023-085A               
2 57119  43.0001 160.8846 0001727 255.2613 104.8064 15.71353032  3171
STARLINK-6147           
1 57120U 23090V   23194.62050890  .00006849  00000+0  55630-4 0  9997
2 57120  42.9994 160.8848 0001829 254.9334 105.1332 15.71356757  3172
STARLINK-6152           
1 57121U 23090W   23194.61987856  .00003751  00000+0  32042-4 0  9999
2 57121  42.9995 160.8798 0001754 249.9734 110.0945 15.71352737  3172
STARLINK-6149           
1 57122U 23090X   23194.81078241 -.00076702  00000+0 -58374-3 0  9994
2 57122  42.9993 159.7314 0001698 254.0262 106.0419 15.71480305  3200
STARLINK-6154           
1 57123U 23090Y   23194.61967035  .00020805  00000+0  16170-3 0  9990
2 57123  42.9999 160.8795 0001679 267.0799  92.9877 15.71355821  3172
STARLINK-6146           
1 57124U 23090Z   23194.61998863  .00159915  00000+0  11731-2 0  9996
2 57124  42.9995 160.8824 0002364 298.1382  61.9247 15.71884329  3174
STARLINK-6100           
1 57125U 23090AA  23195.06365431  .00010453  00000+0  83049-4 0  9992
2 57125  43.0002 158.1888 0001630 253.4507 106.6182 15.71357038  3249
STARLINK-6167           
1 57126U 23090AB  23195.06491404  .00003198  00000+0  27824-4 0  9990
2 57126  42.9994 158.1958 0001656 241.3303 118.7398 15.71356591  3240
STARLINK-6165           
1 57127U 23090AC  23195.06438833  .00006896  00000+0  55975-4 0  9994
2 57127  43.0002 158.1930 0001746 243.2141 116.8549 15.71361465  3247
STARLINK-6163           
1 57128U 23090AD  23194.61977220 -.00000656  00000+0 -15549-5 0  9997
2 57128  42.9998 160.8795 0001478 256.9727 103.0976 15.71350840  3171
STARLINK-6170           
1 57129U 23090AE  23195.06417870  .00002770  00000+0  24565-4 0  9992
2 57129  43.0003 158.1927 0001558 258.6709 101.3984 15.71355340  3244
STARLINK-6172           
1 57130U 23090AF  23194.61945939  .00186932  00000+0  13751-2 0  9992
2 57130  43.0001 160.8777 0002748 269.2326  90.8227 15.71731334  3177
STARLINK-6162           
1 57131U 23090AG  23195.06396774  .00003299  00000+0  28585-4 0  9997
2 57131  43.0003 158.1909 0001513 253.4955 106.5747 15.71360209  3248
STARLINK-6128           
1 57132U 23090AH  23194.36510456  .00006203  00000+0  50715-4 0  9993
2 57132  42.9995 162.4091 0001707 250.1527 109.9157 15.71354646  3139
STARLINK-6143           
1 57133U 23090AJ  23195.06354958  .00005755  00000+0  47307-4 0  9999
2 57133  43.0002 158.1880 0001895 240.1289 119.9390 15.71354789  3241
STARLINK-6133           
1 57134U 23090AK  23194.36489459  .00002335  00000+0  21250-4 0  9997
2 57134  42.9997 162.4078 0001493 250.5602 109.5104 15.71354529  3136
STARLINK-6127           
1 57135U 23090AL  23195.06323534  .00009279  00000+0  74110-4 0  9994
2 57135  42.9999 158.1856 0001557 250.0487 110.0213 15.71360718  3249
STARLINK-6112           
1 57136U 23090AM  23195.06386455 -.00001768  00000+0 -10044-4 0  9999
2 57136  43.0002 158.1896 0001643 259.0532 101.0151 15.71348152  3246
STARLINK-5347           
1 57137U 23090AN  23195.06344282  .00006557  00000+0  53400-4 0  9994
2 57137  43.0001 158.1867 0001544 246.1233 113.9473 15.71358897  3245
STARLINK-5336           
1 57138U 23090AP  23195.06376083 -.00001044  00000+0 -45198-5 0  9993
2 57138  43.0005 158.1880 0001652 258.1569 101.9114 15.71348887  3247
STARLINK-5355           
1 57139U 23090AQ  23194.36394804  .00000831  00000+0  97863-5 0  9994
2 57139  43.0006 162.4013 0001600 250.7287 109.3408 15.71353060  3138
STARLINK-5354           
1 57140U 23090AR  23194.36415784  .00001181  00000+0  12451-4 0  9995
2 57140  43.0004 162.4022 0001644 251.8136 108.2553 15.71355702  3135
STARLINK-5357           
1 57141U 23090AS  23195.06291892  .00003686  00000+0  31546-4 0  9994
2 57141  43.0004 158.1831 0001490 259.5548 100.5152 15.71353671  3242
STARLINK-5361           
1 57142U 23090AT  23194.36363248  .00002280  00000+0  20828-4 0  9992
2 57142  43.0004 162.3989 0001421 251.5600 108.5113 15.71354598  3131
STARLINK-5358           
1 57143U 23090AU  23194.36352888  .00008731  00000+0  69944-4 0  9990
2 57143  43.0004 162.3977 0001253 238.9699 121.1045 15.71358926  3133
STARLINK-5150           
1 57144U 23090AV  23195.06302472  .00004864  00000+0  40523-4 0  9998
2 57144  42.9998 158.1832 0001569 249.0036 111.0664 15.71350059  3241
STARLINK-5768           
1 57145U 23090AW  23195.06218130  .00003082  00000+0  26941-4 0  9995
2 57145  43.0002 158.1764 0001452 251.8196 108.2513 15.71356774  3244
STARLINK-5791           
1 57146U 23090AX  23195.06260425  .00011837  00000+0  93569-4 0  9997
2 57146  43.0001 158.1809 0001324 254.5735 105.4986 15.71358864  3246
STARLINK-5765           
1 57147U 23090AY  23195.06197204  .00005742  00000+0  47197-4 0  9996
2 57147  42.9999 158.1748 0001462 250.8737 109.1973 15.71356020  3246
STARLINK-5788           
1 57148U 23090AZ  23195.06186689  .00008552  00000+0  68586-4 0  9999
2 57148  42.9999 158.1755 0001452 252.0972 107.9738 15.71358553  3247
STARLINK-5778           
1 57149U 23090BA  23195.06154964  .00006381  00000+0  52057-4 0  9995
2 57149  43.0004 158.1732 0001647 248.7354 111.3338 15.71359923  3241
STARLINK-5780           
1 57150U 23090BB  23194.36321196  .00004824  00000+0  40213-4 0  9993
2 57150  43.0000 162.3946 0001584 242.8418 117.2288 15.71352418  3138
STARLINK-5776           
1 57151U 23090BC  23195.06228683  .00007874  00000+0  63428-4 0  9990
2 57151  43.0007 158.1791 0001708 248.2201 111.8485 15.71359243  3249
STARLINK-6164           
1 57152U 23090BD  23195.06249851  .00005681  00000+0  46745-4 0  9998
2 57152  42.9999 158.1789 0001576 248.6729 111.3971 15.71353704  3248
STARLINK-5879           
1 57153U 23090BE  23194.36226572  .00005330  00000+0  44067-4 0  9992
2 57153  43.0006 162.3887 0001597 248.2483 111.8215 15.71355873  3135
STARLINK-6106           
1 57154U 23090BF  23195.06207507 -.00000481  00000+0 -22318-6 0  9999
2 57154  43.0003 158.1744 0001654 248.5794 111.4898 15.71352955  3243
STARLINK-6108           
1 57155U 23090BG  23195.06165707  .00005883  00000+0  48277-4 0  9994
2 57155  43.0002 158.1747 0001524 255.2866 104.7833 15.71355238  3248
STARLINK-6137           
1 57156U 23090BH  23195.06176151  .00001212  00000+0  12693-4 0  9995
2 57156  43.0007 158.1738 0001697 267.3048  92.7625 15.71352034  3247
FALCON 9 DEB            
1 57157U 23090BJ  23195.06883620  .00307494  44068-4  82692-3 0  9995
2 57157  43.0086 156.4464 0026207 131.4469 228.8664 15.92977020  3262
FALCON 9 DEB            
1 57158U 23090BK  23195.06282984  .00325108  48705-4  84797-3 0  9994
2 57158  43.0045 156.3901 0024311 135.3535 224.9303 15.93627010  3263
FALCON 9 DEB            
1 57159U 23090BL  23195.04839794  .00292780  41418-4  72198-3 0  9995
2 57159  43.0022 156.2614 0022692 124.4658 235.8366 15.94748332  3266
FALCON 9 DEB            
1 57160U 23090BM  23194.85946094  .00274816  37228-4  69900-3 0  9998
2 57160  42.9997 157.4227 0021205 125.2737 235.0126 15.94249220  3231
METEOR-M2 3             
1 57166U 23091A   23194.84626079  .00000019  00000+0  27970-4 0  9999
2 57166  98.7634 246.6345 0004704  45.7588 314.3976 14.23833579  2332
STRATOSAT-TK 1 (RS52S)  
1 57167U 23091B   23194.91923210  .00006967  00000+0  51606-3 0  9995
2 57167  97.6636 245.4713 0018266 188.9548 171.1354 15.03313850  2459
2023-091C               
1 57168U 23091C   23194.85160426  .00003806  00000+0  28348-3 0  9997
2 57168  97.6632 245.4065 0018157 188.6740 171.4174 15.03399750  2441
2023-091D               
1 57169U 23091D   23194.84979503  .00002588  00000+0  19353-3 0  9993
2 57169  97.6645 245.4106 0016021 186.6102 173.4915 15.03561893  2444
2023-091E               
1 57170U 23091E   23194.84958994  .00003627  00000+0  26921-3 0  9990
2 57170  97.6650 245.4119 0016156 186.6639 173.4374 15.03584319  2447
2023-091F               
1 57171U 23091F   23195.11537165  .00003859  00000+0  28584-3 0  9999
2 57171  97.6644 245.6752 0015943 183.8798 176.2307 15.03624997  2482
UMKA 1 (RS40S)          
1 57172U 23091G   23194.85148694  .00003199  00000+0  23894-3 0  9991
2 57172  97.6633 245.4067 0018028 188.7997 171.2915 15.03403697  2448
2023-091H               
1 57173U 23091H   23194.85675802  .00004523  00000+0  34038-3 0  9992
2 57173  97.6642 245.4002 0016166 196.1557 163.9155 15.02931063  2440
2023-091J               
1 57174U 23091J   23194.85672941  .00002749  00000+0  20882-3 0  9994
2 57174  97.6640 245.3998 0015899 195.6296 164.4441 15.02909631  2448
CUBEBEL 2 (EU11S)       
1 57175U 23091K   23194.85839061  .00004639  00000+0  35034-3 0  9998
2 57175  97.6641 245.3976 0016275 198.1727 161.8918 15.02781736  2446
2023-091L               
1 57176U 23091L   23194.85547646  .00004761  00000+0  35648-3 0  9991
2 57176  97.6650 245.4049 0019496 188.5353 171.5544 15.03052210  2447
2023-091M               
1 57177U 23091M   23194.85317787  .00003754  00000+0  28059-3 0  9992
2 57177  97.6652 245.4133 0019190 184.5026 175.6030 15.03253527  2447
CUBESX-HSE 3 (RS42S)    
1 57178U 23091N   23194.85345999  .00004626  00000+0  34478-3 0  9990
2 57178  97.6672 245.4165 0019372 183.3655 176.7443 15.03239348  2447
2023-091P               
1 57179U 23091P   23194.85401043  .00002751  00000+0  20738-3 0  9995
