 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  INP: S 3, D 8, Dp 43, Sp 15, Pr 1, Fl 0x03, Sz 9 VIA: KISS
 [02:18:16]  RDP 0x55b2da321be0: Received in S 3: syn 0, ack 1, eack 0, rst 0, seq_nr 39986, ack_nr 48179, packet_len 5 (0)
 [02:18:16]  TX Element Free, time 99319618, seq 48179, una 48180
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:16]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:17]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:17]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:17]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:17]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:17]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:17]  RDP: CMP: conn pointer 0x55b2da321be0, packet pointer (nil), flag 2, seq_nr 48180, ack_nr 39984
 [02:18:17]  OUT: S 8, D 3, Dp 15, Sp 43, Pr 1, Fl 0x03, Sz 5 VIA: KISS
 [02:18:17]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
 [02:18:18]  RDP 0x55b2da321be0: Wake Tx task (check timeouts)
