 [01:48:07]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:09]  INP: S 3, D 8, Dp 31, Sp 63, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:48:22]  OUT: S 8, D 3, Dp 13, Sp 52, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:24]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:27]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:28]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:30]  OUT: S 8, D 3, Dp 13, Sp 58, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:32]  OUT: S 8, D 3, Dp 13, Sp 43, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:35]  OUT: S 8, D 3, Dp 13, Sp 60, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:37]  OUT: S 8, D 3, Dp 13, Sp 40, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:39]  OUT: S 8, D 3, Dp 13, Sp 57, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:42]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:49]  INP: S 3, D 8, Dp 31, Sp 54, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:48:57]  OUT: S 8, D 3, Dp 13, Sp 62, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:48:59]  INP: S 3, D 8, Dp 31, Sp 45, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:48:59]  OUT: S 8, D 3, Dp 13, Sp 60, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:01]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:04]  OUT: S 8, D 3, Dp 13, Sp 63, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:06]  OUT: S 8, D 3, Dp 13, Sp 48, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:08]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:10]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:13]  OUT: S 8, D 3, Dp 13, Sp 58, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:15]  OUT: S 8, D 3, Dp 13, Sp 43, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:17]  OUT: S 8, D 3, Dp 13, Sp 60, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:33]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:35]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:37]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:39]  INP: S 3, D 8, Dp 31, Sp 43, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:49:39]  OUT: S 8, D 3, Dp 13, Sp 50, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:41]  OUT: S 8, D 3, Dp 13, Sp 35, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:44]  OUT: S 8, D 3, Dp 13, Sp 52, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:46]  OUT: S 8, D 3, Dp 13, Sp 63, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:48]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:50]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:53]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:49:59]  INP: S 3, D 8, Dp 31, Sp 48, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:50:08]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:09]  INP: S 3, D 8, Dp 31, Sp 42, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [01:50:10]  OUT: S 8, D 3, Dp 13, Sp 48, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:12]  OUT: S 8, D 3, Dp 13, Sp 33, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:14]  OUT: S 8, D 3, Dp 13, Sp 52, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:16]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:16]  INP: S 3, D 8, Dp 37, Sp 13, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:18]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:20]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:23]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:24]  OUT: S 8, D 3, Dp 13, Sp 36, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:25]  OUT: S 8, D 3, Dp 13, Sp 45, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:41]  OUT: S 8, D 3, Dp 13, Sp 41, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:42]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [16:50:25]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:47]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:49]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:51]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:54]  OUT: S 8, D 3, Dp 13, Sp 44, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:56]  OUT: S 8, D 3, Dp 13, Sp 61, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:50:58]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:00]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:16]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:18]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:20]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:23]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:25]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:26]  OUT: S 8, D 3, Dp 13, Sp 57, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:29]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:31]  OUT: S 8, D 3, Dp 13, Sp 59, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:33]  OUT: S 8, D 3, Dp 13, Sp 44, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:35]  OUT: S 8, D 3, Dp 13, Sp 62, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:51]  OUT: S 8, D 3, Dp 13, Sp 51, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:53]  OUT: S 8, D 3, Dp 13, Sp 36, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:55]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:58]  OUT: S 8, D 3, Dp 13, Sp 38, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:51:59]  OUT: S 8, D 3, Dp 13, Sp 57, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:01]  OUT: S 8, D 3, Dp 13, Sp 42, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:03]  OUT: S 8, D 3, Dp 13, Sp 61, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:05]  OUT: S 8, D 3, Dp 13, Sp 46, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:07]  OUT: S 8, D 3, Dp 13, Sp 63, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:10]  OUT: S 8, D 3, Dp 13, Sp 48, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:25]  OUT: S 8, D 3, Dp 13, Sp 35, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:27]  OUT: S 8, D 3, Dp 13, Sp 52, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:29]  OUT: S 8, D 3, Dp 13, Sp 61, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:32]  OUT: S 8, D 3, Dp 13, Sp 37, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:34]  OUT: S 8, D 3, Dp 13, Sp 54, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:36]  OUT: S 8, D 3, Dp 13, Sp 39, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:39]  OUT: S 8, D 3, Dp 13, Sp 56, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:40]  OUT: S 8, D 3, Dp 13, Sp 43, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:42]  OUT: S 8, D 3, Dp 13, Sp 60, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [01:52:45]  OUT: S 8, D 3, Dp 13, Sp 45, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:18:09]  INP: S 3, D 8, Dp 31, Sp 49, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:18:19]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:18:39]  INP: S 3, D 8, Dp 31, Sp 42, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:18:40]  OUT: S 8, D 5, Dp 1, Sp 48, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:18:40]  INP: S 5, D 8, Dp 48, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [03:18:41]  OUT: S 8, D 5, Dp 1, Sp 45, Pr 2, Fl 0x01, Sz 4 VIA: KISS
 [03:18:42]  INP: S 5, D 8, Dp 45, Sp 1, Pr 2, Fl 0x01, Sz 8 VIA: KISS
 [03:18:42]  OUT: S 8, D 5, Dp 9, Sp 46, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:18:43]  INP: S 5, D 8, Dp 46, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:18:44]  OUT: S 8, D 5, Dp 9, Sp 32, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:18:44]  INP: S 5, D 8, Dp 32, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:18:45]  OUT: S 8, D 5, Dp 9, Sp 50, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:18:45]  INP: S 5, D 8, Dp 50, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:18:46]  OUT: S 8, D 5, Dp 9, Sp 36, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:18:48]  OUT: S 8, D 5, Dp 9, Sp 55, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:18:48]  INP: S 5, D 8, Dp 55, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:18:49]  INP: S 3, D 8, Dp 31, Sp 33, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:18:49]  OUT: S 8, D 5, Dp 9, Sp 41, Pr 1, Fl 0x01, Sz 0 VIA: KISS
 [03:18:49]  INP: S 5, D 8, Dp 41, Sp 9, Pr 1, Fl 0x01, Sz 4 VIA: KISS
 [03:18:59]  INP: S 3, D 8, Dp 31, Sp 54, Pr 2, Fl 0x01, Sz 116 VIA: KISS
 [03:19:00]  OUT: S 8, D 3, Dp 13, Sp 62, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:19:02]  OUT: S 8, D 3, Dp 13, Sp 47, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:19:05]  OUT: S 8, D 3, Dp 13, Sp 49, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:19:06]  OUT: S 8, D 3, Dp 13, Sp 36, Pr 1, Fl 0x01, Sz 5 VIA: KISS
 [03:19:08]  OUT: S 8, D 3, Dp 13, Sp 53, Pr 1, Fl 0x01, Sz 5 VIA: KISS
